date,match_id,opposition,goals_scored,goals_conceded,goal_difference,xg_for,xg_against,total_shots,shots_on_target,shots_off_target,shots_blocked,avg_shot_distance,most_common_shot_type,open_play_shots,set_piece_shots,first_time_shots,headers_won_on_shots,one_on_one_shots,most_common_shot_body_part,xg_difference,possession_percentage,total_passes,pass_completion,avg_pass_length,long_passes,key_passes,assists,dribbles_attempted,dribbles_completed,carries,progressive_carries,ppda_std,ppda_statsbomb,pressures,interceptions,tackles_total,tackles_won,tackles_lost_in_play,tackles_lost_out,tackles_success_in_play,tackles_success_out,blocks,clearances,aerial_duels_won,aerial_duels_lost,ball_recoveries,counterpresses
11-22-2022,3857300,Saudi Arabia,1,2,-1,2.49,0.15,15,8,5,4,5.19,Normal,16,1,3,3,2,Head,2.3400000000000003,70.19,646,87.15,21.43,19,10,0,13,6,527,526,10.083333333333334,3.6666666666666665,107,11,13,4,6,2,1,0,19,18,0,10,44,42
11-26-2022,3857289,Mexico,2,0,2,0.33,0.21,5,3,5,1,4.0,Normal,7,2,1,1,0,Left Foot,0.12000000000000002,59.77,567,85.71,19.61,13,2,2,18,9,445,445,12.0,4.628571428571429,109,5,18,2,4,3,8,1,17,20,0,20,34,49
11-30-2022,3857264,Poland,2,0,2,3.08,0.2,24,13,6,6,6.45,Normal,26,1,5,0,4,Left Foot,2.88,72.98,909,92.52,18.16,18,14,2,17,12,787,787,10.130434782608695,3.5303030303030303,88,7,15,2,2,3,8,0,12,7,0,12,53,44
12-03-2022,3869151,Australia,2,1,1,1.48,0.43,14,6,7,5,7.83,Normal,19,0,3,0,0,Left Foot,1.05,63.95,728,90.93,18.45,12,9,1,23,10,646,646,10.384615384615385,2.783505154639175,127,16,16,4,4,0,6,2,13,25,0,17,47,55
12-09-2022,3869321,Netherlands,2,2,0,5.86,4.49,19,16,7,7,5.73,Normal,18,2,4,1,2,Right Foot,1.37,50.16,640,85.16,20.61,9,10,1,18,12,514,514,20.0,3.969465648854962,190,10,22,3,5,6,8,0,16,27,0,21,48,53
12-13-2022,3869519,Croatia,3,0,3,1.86,0.41,9,9,8,4,4.66,Normal,19,1,2,0,1,Right Foot,1.4500000000000002,40.05,432,85.42,19.56,10,6,1,12,8,331,331,16.3,3.880952380952381,192,8,24,4,9,2,9,0,23,18,0,10,40,65
12-18-2022,3869685,France,3,3,0,5.89,5.41,24,22,8,7,6.35,Normal,27,0,8,0,2,Right Foot,0.47999999999999954,54.24,693,83.84,20.17,20,14,1,21,9,513,512,8.6,4.637254901960785,167,13,26,8,5,6,7,0,26,26,0,24,59,89
